"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEMODEL";"SPICEPREFIX";
"IC4";"MC74HC175ADG";"MC74HC175ADG";"SOIC127P600X175-16N";"ON Semiconductor MC74HC175ADG, D Type Flip Flop, LSTTL, 2  6 V, 16-Pin SOIC";"";"";"";"ON Semiconductor MC74HC175ADG, D Type Flip Flop, LSTTL, 2  6 V, 16-Pin SOIC";"1.75mm";"onsemi";"MC74HC175ADG";"";"863-MC74HC175ADG";"https://www.mouser.co.uk/ProductDetail/onsemi/MC74HC175ADG?qs=qg33o%252B8vzFoIlG2G0iHepQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"IC5";"MC74HC175ADG";"MC74HC175ADG";"SOIC127P600X175-16N";"ON Semiconductor MC74HC175ADG, D Type Flip Flop, LSTTL, 2  6 V, 16-Pin SOIC";"";"";"";"ON Semiconductor MC74HC175ADG, D Type Flip Flop, LSTTL, 2  6 V, 16-Pin SOIC";"1.75mm";"onsemi";"MC74HC175ADG";"";"863-MC74HC175ADG";"https://www.mouser.co.uk/ProductDetail/onsemi/MC74HC175ADG?qs=qg33o%252B8vzFoIlG2G0iHepQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"IC6";"MC74HC175ADG";"MC74HC175ADG";"SOIC127P600X175-16N";"ON Semiconductor MC74HC175ADG, D Type Flip Flop, LSTTL, 2  6 V, 16-Pin SOIC";"";"";"";"ON Semiconductor MC74HC175ADG, D Type Flip Flop, LSTTL, 2  6 V, 16-Pin SOIC";"1.75mm";"onsemi";"MC74HC175ADG";"";"863-MC74HC175ADG";"https://www.mouser.co.uk/ProductDetail/onsemi/MC74HC175ADG?qs=qg33o%252B8vzFoIlG2G0iHepQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"IC7";"MC74HC175ADG";"MC74HC175ADG";"SOIC127P600X175-16N";"ON Semiconductor MC74HC175ADG, D Type Flip Flop, LSTTL, 2  6 V, 16-Pin SOIC";"";"";"";"ON Semiconductor MC74HC175ADG, D Type Flip Flop, LSTTL, 2  6 V, 16-Pin SOIC";"1.75mm";"onsemi";"MC74HC175ADG";"";"863-MC74HC175ADG";"https://www.mouser.co.uk/ProductDetail/onsemi/MC74HC175ADG?qs=qg33o%252B8vzFoIlG2G0iHepQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"IC8";"MC74HC175ADG";"MC74HC175ADG";"SOIC127P600X175-16N";"ON Semiconductor MC74HC175ADG, D Type Flip Flop, LSTTL, 2  6 V, 16-Pin SOIC";"";"";"";"ON Semiconductor MC74HC175ADG, D Type Flip Flop, LSTTL, 2  6 V, 16-Pin SOIC";"1.75mm";"onsemi";"MC74HC175ADG";"";"863-MC74HC175ADG";"https://www.mouser.co.uk/ProductDetail/onsemi/MC74HC175ADG?qs=qg33o%252B8vzFoIlG2G0iHepQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"IC9";"ULN2003D1013TR";"ULN2003D1013TR";"SOIC127P600X175-16N";"ULN2003D1013TR, Darlington Transistor Array, NPN 0.5A 50V, Array 7 HFE:1000, 16-Pin, SO";"";"";"";"ULN2003D1013TR, Darlington Transistor Array, NPN 0.5A 50V, Array 7 HFE:1000, 16-Pin, SO";"1.75mm";"STMicroelectronics";"ULN2003D1013TR";"";"511-ULN2003D1013TR";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/ULN2003D1013TR?qs=YnPipOpXm6FQ98RZGZk5Pg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"IC10";"ULN2003D1013TR";"ULN2003D1013TR";"SOIC127P600X175-16N";"ULN2003D1013TR, Darlington Transistor Array, NPN 0.5A 50V, Array 7 HFE:1000, 16-Pin, SO";"";"";"";"ULN2003D1013TR, Darlington Transistor Array, NPN 0.5A 50V, Array 7 HFE:1000, 16-Pin, SO";"1.75mm";"STMicroelectronics";"ULN2003D1013TR";"";"511-ULN2003D1013TR";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/ULN2003D1013TR?qs=YnPipOpXm6FQ98RZGZk5Pg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"IC11";"ULN2003D1013TR";"ULN2003D1013TR";"SOIC127P600X175-16N";"ULN2003D1013TR, Darlington Transistor Array, NPN 0.5A 50V, Array 7 HFE:1000, 16-Pin, SO";"";"";"";"ULN2003D1013TR, Darlington Transistor Array, NPN 0.5A 50V, Array 7 HFE:1000, 16-Pin, SO";"1.75mm";"STMicroelectronics";"ULN2003D1013TR";"";"511-ULN2003D1013TR";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/ULN2003D1013TR?qs=YnPipOpXm6FQ98RZGZk5Pg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"IC12";"ULN2003D1013TR";"ULN2003D1013TR";"SOIC127P600X175-16N";"ULN2003D1013TR, Darlington Transistor Array, NPN 0.5A 50V, Array 7 HFE:1000, 16-Pin, SO";"";"";"";"ULN2003D1013TR, Darlington Transistor Array, NPN 0.5A 50V, Array 7 HFE:1000, 16-Pin, SO";"1.75mm";"STMicroelectronics";"ULN2003D1013TR";"";"511-ULN2003D1013TR";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/ULN2003D1013TR?qs=YnPipOpXm6FQ98RZGZk5Pg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"IC13";"FT230XS-U";"FT230XS-U";"SOP64P599X175-16N";"USB Interface IC USB to Basic Serial UART IC SSOP-16";"FT230XS-U";"https://www.arrow.com/en/products/ft230xs-u/ftdi-chip";"";"USB Interface IC USB to Basic Serial UART IC SSOP-16";"1.753mm";"FTDI Chip";"FT230XS-U";"";"895-FT230XS-U";"https://www.mouser.co.uk/ProductDetail/FTDI/FT230XS-U?qs=Gp1Yz1mis3UZolxbXux7lw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
